frame,time,label
229,7.633333333333334,happy
230,7.666666666666667,happy
231,7.7,happy
232,7.733333333333333,happy
233,7.766666666666667,happy
234,7.8,happy
235,7.833333333333333,happy
236,7.866666666666666,happy
237,7.9,happy
238,7.933333333333334,happy
239,7.966666666666667,happy
240,8.0,happy
241,8.033333333333333,happy
242,8.066666666666666,happy
243,8.1,happy
244,8.133333333333333,happy
245,8.166666666666666,happy
246,8.2,happy
247,8.233333333333333,happy
248,8.266666666666667,happy
249,8.3,happy
250,8.333333333333334,happy
251,8.366666666666667,happy
252,8.4,happy
253,8.433333333333334,happy
254,8.466666666666667,happy
255,8.5,happy
256,8.533333333333333,happy
257,8.566666666666666,happy
258,8.6,happy
259,8.633333333333333,happy
260,8.666666666666666,happy
261,8.7,happy
262,8.733333333333333,happy
263,8.766666666666667,happy
